jugador,cfn_id,personaje,pais,mr
Dede_f1ght3rs,3341278995,Dhalsim,Brasil,1674
Gantz,1495898810,Chun-Li,Brasil,1674
D1M3,1015233879,Ken,Perú,1674
nightcrawler,1437763374,Cammy,Brasil,1673
Tygerlied ®,2509967085,Dhalsim,Colombia,1673
Toshi????,2167768556,Dee Jay,Guyana,1673
wes-,2262826960,Cammy,Brasil,1672
Aquiles,3247296609,Dhalsim,Brasil,1671
TomberryExe,1685179730,Kimberly,Brasil,1671
-Dragon_Legend-,3710516941,Dee Jay,Brasil,1671
felpzera,1200277251,Ken,Brasil,1671
tonin,1529872587,Ken,Brasil,1671
CrisGQ,3783847251,Cammy,Chile,1670
FearThePuppet,1498380958,Jamie,Perú,1670
ZzZZz,2219527309,Ken,Brasil,1670
Neolardo,1001698091,Manon,Brasil,1669
Toblipa,3128839291,Blanka,Chile,1669
RonaldinhoBR,1589295724,Guile,Brasil,1668
Evilgennius,1853882471,Chun-Li,Brasil,1667
Figs,2652042490,Kimberly,Brasil,1667
BTr-RJ,1117190671,E. Honda,Brasil,1667
Campeão Goiano,4112201351,Luke,Brasil,1666
yuri,2416362723,Ryu,Brasil,1666
JeanVujanski,3492204569,Ryu,Brasil,1666
cuartoestado,1607327329,Ryu,Ecuador,1666
Mr_Ken,1277483030,Ken,Brasil,1664
JeanVujanski,3492204569,Cammy,Brasil,1663
Junpei,3940484488,JP,Chile,1663
Bruno,2878592797,JP,Brasil,1663
CalmBirdXD,2136602793,Luke,Brasil,1663
Ultima,3116028622,Juri,Brasil,1663
Pedream,2616132292,Dee Jay,Brasil,1663
Nza Warcry,1566145971,Ken,Argentina,1663
masterminds,3512733483,Chun-Li,Colombia,1662
EXAks,1700710007,Rashid,Brasil,1661
TiikoDF,2345496822,Kimberly,Brasil,1660
BLK | Craime,1009159858,Ken,Chile,1660
NeoKyo,3877607448,Luke,Argentina,1659
LruceBee,3667672955,Marisa,Brasil,1659
Cefi_champ,3910398081,Dee Jay,Bolivia,1659
ChupeteHonesto,1316348267,Ryu,Uruguay,1659
ricniclas,1586570407,Chun-Li,Brasil,1658
Hawken,1844024316,Luke,Brasil,1658
Arthuro-Ray,4059523573,Cammy,Brasil,1657
Cotta,3580106440,Chun-Li,Brasil,1657
JeanVujanski,3492204569,Luke,Brasil,1657
Hunter,3508961057,Luke,Brasil,1657
Hunter,3508961057,A.K.I.,Brasil,1657
ANIMEILLUMINATI,3562368163,Cammy,Brasil,1656
BOD_DhunterTV,3586442831,JP,Chile,1655
Voltz,4125287378,Ken,Brasil,1655
Guisty,1752231590,Cammy,Brasil,1654
Ronsvain,2922875013,Kimberly,Chile,1654
tuliomamute,3593935598,Marisa,Brasil,1654
Cara,3813586063,Chun-Li,Brasil,1653
4Fun,3741486352,Guile,Chile,1653
ISHIKAWA,1331906042,Dhalsim,Perú,1652
Jogador_de_kof,1975952717,JP,Brasil,1652
twitchSHALALAKA,1371161593,Zangief,Brasil,1652
Amaterasu_13,3230190688,Manon,Brasil,1652
AJ-Panadero,3250767568,Chun-Li,Perú,1652
theforce90,1346704274,Luke,Brasil,1652
Gatilvs,1713196435,Guile,Chile,1652
dudiley,4250866711,Guile,Brasil,1652
Henrique86fgc,1822423118,Ken,Brasil,1652
SFT MarcelGDS,1613641805,JP,Brasil,1651
kjuzao,1612653917,Chun-Li,Brasil,1651
RSAPcGamer,1987457208,Kimberly,Brasil,1651
freim,1017055268,Guile,Chile,1651
Yezzy Yee,3072988806,Guile,Brasil,1651
Gorítalo,2101032996,Rashid,Brasil,1651
Sait,1824036126,Cammy,Chile,1650
